date,temperature,max_temperature,min_temperature,precipitation
2020-07-14,15.9,18.6,14.3,4.66
2020-07-15,16.3,21.0,11.2,0.0
2020-07-16,17.6,22.0,12.3,0.0
2020-07-17,19.4,23.3,15.8,0.0
2020-07-18,20.0,22.1,17.3,1.71
2020-07-19,17.3,19.6,15.6,1.69
2020-07-20,16.8,19.3,14.5,0.01
2020-07-21,16.5,20.0,10.9,0.0
2020-07-22,17.1,19.8,14.5,0.1
2020-07-23,15.0,16.1,13.6,19.94
2020-07-24,16.4,20.1,11.1,0.2
2020-07-25,17.7,20.3,16.5,1.53
2020-07-26,18.1,21.3,15.3,0.0
2020-07-27,16.5,18.5,14.5,16.03
2020-07-28,14.9,17.3,12.5,2.49
2020-07-29,15.7,17.1,14.6,0.0
2020-07-30,19.8,25.1,14.8,0.0
2020-07-31,20.1,25.7,13.1,0.0
2020-08-01,17.6,19.3,15.6,0.69
2020-08-02,16.7,19.1,14.8,0.0
2020-08-03,16.8,19.6,14.3,0.0
2020-08-04,15.0,17.1,12.8,11.44
2020-08-05,21.5,26.5,17.0,0.5
2020-08-06,24.8,30.4,20.3,0.0
2020-08-07,23.9,29.0,17.3,0.0
2020-08-08,22.9,28.5,16.1,0.0
2020-08-09,21.7,28.0,14.2,0.0
2020-08-10,22.1,26.3,18.6,0.0
2020-08-11,21.8,26.1,17.6,0.0
2020-08-12,20.9,25.6,15.1,0.0
2020-08-13,21.9,27.1,14.9,0.0
2020-08-14,21.8,27.3,14.9,0.0
2020-08-15,22.8,28.8,14.9,0.0
2020-08-16,23.9,30.6,16.7,0.0
2020-08-17,23.1,28.7,18.4,0.0
2020-08-18,20.9,24.0,18.8,2.98
2020-08-19,20.0,24.3,17.5,1.19
2020-08-20,20.1,23.3,17.6,4.1
2020-08-21,20.4,23.0,18.1,3.61
2020-08-22,18.1,20.5,16.3,0.2
2020-08-23,16.2,18.6,14.5,0.0
2020-08-24,15.8,18.8,13.6,0.2
2020-08-25,14.1,16.1,11.6,3.88
2020-08-26,16.7,20.8,13.5,0.0
2020-08-27,13.9,18.5,9.1,0.6
2020-08-28,14.5,17.8,12.1,0.1
2020-08-29,14.7,19.8,8.9,0.0
2020-08-30,14.3,19.0,10.0,0.0
2020-08-31,14.7,21.5,7.1,0.0
